"%s - Repsonse: %s","%s - Antwoord: %s"
"%s new review(s)","%s nieuwe beoordeling(en)"
"%s review(s) updated","%s beoordeling(en) geupdate"
"%s, please check the online manual for suggestions.","%s, controleer onze online handleiding voor suggesties."
"(more)","(meer)"
"You can only activate the Rich Snippets when this block is shown on your Homepage only","U kunt deze optie enkel activeren wanneer de sidebar op de homepage wordt vertoond. Indien u ook gebruikt maakt van de homepage widget dan raden wij u aan deze optie uit te schakelen om dubbele Rich Snippets te voorkomen."
"and total score updated.","and total score updated."
"and total score updated.","totaal score geüpdate."
"on","aan"
"<p>The extension comes with two coded blocks. With this blocks you can add  your store rating in a Static block or CMS page.</p><p><br><strong>The Rich Snippets Block.<br></strong>Show your Store-rating with this block and generate results in the Google Search Engine Results better known as Rich Snippets.<br>Paste the code  below at the desired location using a Static Block or a CMS page.</p><p>Code: {{block type=""webwinkelconnect/snippets"" name=""webwinkelsnippets""}}</p><p><br><strong>Custom Block.</strong><br>With this block you can create  custom block for footer of header, you can paste the code  below at the desired location using a Static Block or a CMS page.<br>To edit this block you need to edit the .phtml file located in the following path: app/design/frontend/base/default/template/magmodules/webwinkelconnect/widget/custom.phtml</p><p>Code: {{block type=""webwinkelconnect/custom"" name=""webwinkelkeur""}}</p>","<p>Deze extensie komt met 2 verschillende blokken. With this blocks you can add  your store rating in a Static block or CMS page.</p><p><br><strong>Het Rich Snippets blok.</strong><br></strong>Toon de webwinkel-waardering met in blok  en genereer hiermee de zogenaamde Rich Snippets waarbij de winkelbeoordelingen worden getoond in de Zoekmachine resultaten van bijvoorbeeld Google. Plaat de onderstaande code op de gewenste plaats in een statische blok of een CMS-pagina.</p> <p><strong>De code: </strong>{{block type=""webwinkelconnect/snippets"" name=""webwinkelsnippets""}}</p><p><br><strong>Custom blok.</strong><br>Met dit custom blok is het mogelijk om eenvoudig een eigen blok creëren met daarin verschillende waardes als het aantal klanbeoordelingen, bedrijfsnaam en gemiddelde rating. Plaats de onderstaande code op de gewenste plek  in  een statisch blok of een CMS-pagina. Om dit blok naar wens te bewerken en eventueel aan te vullen met de geweneste informatie is het mogelijk om het .phtml bestand aan te passen. Deze is te vinden via de volgende path: app/design/frontend/base/default/template/webwinkelconnect/widget/custom.phtml</p><p><strong>De code:</strong> {{block type=""webwinkelconnect/custom"" name=""webwinkelkeur""}}</p>"
"You can find the necessary information by logging in at https://dashboard.webwinkelkeur.nl. Navigate to Installation > Wizard and follow the installation instructions. As addition next to the activation of this extension we also recommend you to follow the installation wizard and install the WebwinkelKeur widget and banners.<br/><br/>","Je vindt deze informatie door in te loggen op https://dashboard.webwinkelkeur.nl. Navigeer naar Installatie > Wizard en volg de instructies. In de instructie tekst staat de API sleutel en het webwinkel id.<br>Aanvullend op de installatie van deze extensie adviseren we je ook de installatie wizard te doorlopen. Plaats daarbij ook het WebwinkelKeur banner materiaal en de WebwinkelKeur widget.<br/><br/>"
"Url member page","Url ledenpagina"
"Automatically generated","Automatisch gegenereerd"
"Show the latest reviews directly in the right or left area of your store to gain trust and directly show your client reviews. To use this feature Importing reviews should be enabled. You can use this option instead of the WebwinkelKeur wizard to style the latest reviews yourself using CSS.<br/><br/>","Geef de nieuwste reviews direct weer op je eigen webwinkel. Om deze functie te gebruiken moet het importeren van reviews geactiveerd zijn.<br>Je kunt deze functie gebruiken om in plaats van de WebwinkelKeur widget zelf de weergave te stylen middels CSS.<br/><br/>"
"We can import your customer reviews and display them in your store as new content. To use this feature Importing reviews should be enabled. Eg. link: http://www.mywebshop.com/<strong>webwinkelkeur</strong><br><br>","Wij kunnen reviews verzameld bij WebwinkelKeur importeren en weergeven op je eigen webwinkel. Om deze functie te gebruiken moet het importeren van reviews geactiveerd zijn.<br>Voorbeeld link: http://www.mijnwebwinkel.nl/<strong>webwinkelkeur</strong><br><br>"
"WebwinkelKeur can invite your customers to write customer reviews. It’s also possible to activate an extra reminder using the settings at https://dashboard.webwinkelkeur.nl. <strong>Note:</strong> this feature is only available to PLUS & EU members.<br/><br/>","WebwinkelKeur heeft de mogelijkheid om klanten uit te nodigen om een beoordeling te schrijven. Het is tevens mogelijk de klant hier een tweede keer aan te herinneren via de instellingen op https://dashboard.webwinkelkeur.nl.<br><strong>Let op:</strong> deze functie is alleen beschikbaar voor leden met een PLUS of EU pakket.<br/><br/>"
"Activate the javascript integration.","Activeer javascript integratie."
"Enabled","Geactiveerd"
"Invitation to write review","Vragen om beoordeling"
"WebwinkelKeur Javascript integration","WebwinkelKeur Javascript integratie"
"Language of the review invitation email, leave empty for default language. Option only available for member with an EU membership","Taal van de uitnodigingsemail. Laat leeg om de standaardtaal te gebruiken. Optie alleen beschikbaar binnen het EU pakket."
"Resend if Double","Stuur opnieuw indien dubbel"
"If set to ""Yes"", customers will get new review reminders for every new order.","Indien ""Ja"" ontvangen de klanten een nieuwe uitnodiging na elke bestelling."
